DPs,,$/Mbps
PDI,ACC-DP-0000341,360
TrustComm d/b/a OneWeb Technologies,ACC-DP-0000225,420
Alaska Communications,ACC-DP-0000319,360
ACS,ACC-DP-0000647,360
UT Alaska Communications Internet LLC,DP-EC-0000114,360
ROCK Networks,ACC-DP-0000312,300
Marlink,ACC-DP-0000022,700
AST,ACC-DP-0000042,700
BT,ACC-DP-0000060,243
Norway defence,DP-EC-0000140,947
Galaxy,ACC-DP-0000112,270
Northwestel,,270
Shared Services Canada - RCMP,,404
Shared Services Canada - Department of National Defence,,404
Kyndryl,ACC-DP-0000409,270
Softbank,DP-EC-0000215,250
